name,latitude,longitude,price_sqm,change_last_q,change_last_y,rental_yield,change_last_y_rental_price,price_hist,district_cor,year_built_imp_med,buildings_cor,floors_cor_imp_med,units_cor_imp_med,shop_1,shop_2,shop_3,shop_4,shop_5,shop_1_dist,shop_2_dist,shop_3_dist,shop_4_dist,shop_5_dist,school_1,school_2,school_3,school_4,school_5,school_1_dist,school_2_dist,school_3_dist,school_4_dist,school_5_dist,res_1,res_2,res_3,res_4,res_5,res_1_dist,res_2_dist,res_3_dist,res_4_dist,res_5_dist,hospital_dist,Elevator,Parking,Security,CCTV,Pool,Sauna,Gym,Garden,Playground,Shop,Restaurant,Wifi,trans_type_1,trans_name_1,trans_dist_1,trans_type_2,trans_name_2,trans_dist_2,trans_type_3,trans_name_3,trans_dist_3,trans_type_4,trans_name_4,trans_dist_4,trans_type_5,trans_name_5,trans_dist_5
D Condo Ramindra,13.8530604,100.6358916,56729,1.77,-8.64,5.31,4.15,"[{""date"":""2011-01-01"",""value"":43944},{""date"":""2011-04-01"",""value"":44805},{""date"":""2011-07-01"",""value"":45838},{""date"":""2011-10-01"",""value"":42112},{""date"":""2012-01-01"",""value"":45522},{""date"":""2012-04-01"",""value"":46785},{""date"":""2012-07-01"",""value"":49125},{""date"":""2012-10-01"",""value"":54322},{""date"":""2013-01-01"",""value"":54322},{""date"":""2013-04-01"",""value"":53388},{""date"":""2013-07-01"",""value"":52808},{""date"":""2013-10-01"",""value"":50529},{""date"":""2014-01-01"",""value"":52328},{""date"":""2014-04-01"",""value"":53169},{""date"":""2014-07-01"",""value"":55161},{""date"":""2014-10-01"",""value"":55000},{""date"":""2015-01-01"",""value"":56062},{""date"":""2015-04-01"",""value"":54802},{""date"":""2015-07-01"",""value"":53828},{""date"":""2015-10-01"",""value"":52928},{""date"":""2016-01-01"",""value"":52799},{""date"":""2016-04-01"",""value"":51873},{""date"":""2016-07-01"",""value"":51483},{""date"":""2016-10-01"",""value"":50278},{""date"":""2017-01-01"",""value"":52039},{""date"":""2017-04-01"",""value"":50278},{""date"":""2017-07-01"",""value"":62093},{""date"":""2017-10-01"",""value"":57288},{""date"":""2018-01-01"",""value"":59148},{""date"":""2018-04-01"",""value"":55744},{""date"":""2018-07-01"",""value"":56729}]",Khet Bang Khen,2012,4,8,825,Lotus Market (Watcharaphon) is 760 m away (approximately 10 minutes by foot),The Platinum Place Department Store – 830 m (1 minute by car),Tops Daily – 1.1 km (10 minutes by car),Watcharaphon Order Product Center – 1.3 km (3 minutes by car),Foodland Supermarket (Ram Inthra) – 1.5 km (10 minutes by car),760,830,1100,1300,1500,"Global Art & Creative, located within 830 m away (approximately 1 minute by car)",Jumping Clay 3 Miti Art Center – 830 m (1 minute by car),Smile Kids Club – 830 m (1 minute by car),Pramoch Pattana Kindergarten – 1.2 km (2 minutes by car),Kiraphat International School – 1.5 km (6 minutes by car),830,830,830,1200,1500,Cafe' De Cing Restaurant – 19 m (less than a minute by foot),Bar Bq Resort – 77 m (1 minute by foot),Chok Chai Fish Ball Restaurant – 240 m (3 minutes by foot),Hi Ki Fishballs Noodle – 260 m (3 minutes by foot),Pizza Hut – 390 m (5 minutes by foot),19,77,240,260,390,3900,1,1,1,1,1,1,1,1,0,1,0,0,expressway,Ram Inthra Toll Plaza 1,880,expressway,Ram Inthra Toll Plaza,2000,expressway,Sukhaphiban 5-1 Toll Plaza,4900,mrt,Lat Phrao,11000,mrt,Ratchadaphisek,12000
Episode Phahol-Sapanmai,13.8901211,100.6065897,89477,118.83,8.77,4.61,–,"[{""date"":""2016-04-01"",""value"":9614},{""date"":""2016-07-01"",""value"":24349},{""date"":""2016-10-01"",""value"":42032},{""date"":""2017-01-01"",""value"":59714},{""date"":""2017-04-01"",""value"":77396},{""date"":""2017-07-01"",""value"":82264},{""date"":""2017-10-01"",""value"":80725},{""date"":""2018-01-01"",""value"":53312},{""date"":""2018-04-01"",""value"":40888},{""date"":""2018-07-01"",""value"":89477}]",Khet Bang Khen,2017,1,14,465,Super Ying Charoen is 1.1 km away (approximately 5 minutes by car),Tops Daily – 1.9 km (5 minutes by car),Tops Supermarket (Ram Inthra) – 2.7 km (7 minutes by car),Che Leng Plaza – 3.7 km (22 minutes by car),Center Point – 4.7 km (22 minutes by car),1100,1900,2700,3700,4700,"Atthakan Kindergarten, located within 400 m away (approximately 5 minutes by foot)",Rattanachat Kindergarten – 1.1 km (5 minutes by car),Pimontip Kindergarten – 1.3 km (5 minutes by car),Bangkok Thai Massage School – 1.7 km (12 minutes by car),Niveswarin School – 1.7 km (8 minutes by car),400,1100,1300,1700,1700,Hot Pot (Big C Don Mueang) – 190 m (3 minutes by foot),KFC (Big C Don Mueang) – 190 m (3 minutes by foot),Chai Si Restaurant – 200 m (3 minutes by foot),Chakkaphat Restaurant – 370 m (5 minutes by foot),Bang Khen Barbeque – 470 m (6 minutes by foot),190,190,200,370,470,410,1,1,1,1,1,0,1,1,1,0,0,1,expressway,Lak Si Toll Plaza-Inbound,3400,expressway,Don Mueang 2 Toll Plaza,5100,expressway,Don Mueang 1 Toll Plaza,5100,mrt,Phahon Yothin,12000,mrt,Lat Phrao,13000
Esta Phahol - Sapanmai,13.8899206,100.6065983,77419,0,3.14,5.27,3.98,"[{""date"":""2016-01-01"",""value"":17052},{""date"":""2016-04-01"",""value"":30145},{""date"":""2016-07-01"",""value"":43239},{""date"":""2016-10-01"",""value"":56333},{""date"":""2017-01-01"",""value"":69476},{""date"":""2017-04-01"",""value"":77602},{""date"":""2017-07-01"",""value"":75064},{""date"":""2017-10-01"",""value"":72525},{""date"":""2018-01-01"",""value"":73028},{""date"":""2018-04-01"",""value"":77419},{""date"":""2018-07-01"",""value"":77419}]",Khet Bang Khen,2015,1,8,150,Super Ying Charoen is 1.1 km away (approximately 4 minutes by car),Tops Daily – 2 km (10 minutes by car),Maxvalu Department Store (Lak Si) – 2.6 km (11 minutes by car),Che Leng Plaza – 3.7 km (21 minutes by car),Center Point – 4.6 km (21 minutes by car),1100,2000,2600,3700,4600,"Atthakan Kindergarten, located within 360 m away (approximately 5 minutes by foot)",Rattanachat Kindergarten – 1 km (5 minutes by car),Pimontip Kindergarten – 1.2 km (4 minutes by car),Bangkok Thai Massage School – 1.6 km (7 minutes by car),Niveswarin School – 1.6 km (7 minutes by car),360,1000,1200,1600,1600,Hot Pot (Big C Don Mueang) – 150 m (3 minutes by foot),KFC (Big C Don Mueang) – 150 m (3 minutes by foot),Chai Si Restaurant – 180 m (2 minutes by foot),Chakkaphat Restaurant – 290 m (4 minutes by foot),Bang Khen Barbeque – 390 m (5 minutes by foot),150,150,180,290,390,330,1,1,1,1,1,0,1,1,0,0,0,0,expressway,Lak Si Toll Plaza-Inbound,3300,expressway,Don Mueang 2 Toll Plaza,5000,expressway,Don Mueang 1 Toll Plaza,5000,mrt,Phahon Yothin,11000,mrt,Lat Phrao,13000
H2 Condominium,13.8643683,100.6170192,61188,0,-7.36,321.83,4509.55,"[{""date"":""2016-04-01"",""value"":101271},{""date"":""2016-07-01"",""value"":71647},{""date"":""2016-10-01"",""value"":78155},{""date"":""2017-01-01"",""value"":83750},{""date"":""2017-04-01"",""value"":76426},{""date"":""2017-07-01"",""value"":66047},{""date"":""2017-10-01"",""value"":70660},{""date"":""2018-01-01"",""value"":67142},{""date"":""2018-04-01"",""value"":61188},{""date"":""2018-07-01"",""value"":61188}]",Khet Bang Khen,2015,4,8,308,Foodland Supermarket (Ram Inthra) is 1.2 km away (approximately 3 minutes by car),Tops Daily – 1.3 km (3 minutes by car),Central Plaza Department Store (Ram Inthra) – 2 km (7 minutes by car),Tops Supermarket (Ram Inthra) – 2 km (7 minutes by car),The Platinum Place Department Store – 3.3 km (6 minutes by car),1200,1300,2000,2000,3300,"Aiempanitvittaya School, located within 1.1 km away (approximately 6 minutes by car)",Pramot Witthayaram Inthra School – 1.5 km (8 minutes by car),Anong Nat Kindergarten – 1.6 km (4 minutes by car),Parinya Kindergarten – 2.3 km (8 minutes by car),Krirk University – 2.3 km (8 minutes by car),1100,1500,1600,2300,2300,Fai Thong Restaurant – 410 m (5 minutes by foot),Ahan Paet Rio Restaurant – 460 m (6 minutes by foot),Bar-B-Q Plaza (Big C Ram Inthra) – 600 m (8 minutes by foot),Yum Saap (Big C Ram Inthra) – 600 m (8 minutes by foot),MK Restaurants – 600 m (8 minutes by foot),410,460,600,600,600,4600,1,1,1,1,1,0,1,0,0,0,0,0,expressway,Ram Inthra Toll Plaza 1,3400,expressway,Ram Inthra Toll Plaza,4500,expressway,Sukhaphiban 5-1 Toll Plaza,6000,mrt,Phahon Yothin,9200,mrt,Lat Phrao,9700
Indra Mansion,13.8666203,100.6128239,23929,0,0,0,–,"[{""date"":""2010-07-01"",""value"":19286},{""date"":""2010-10-01"",""value"":19429},{""date"":""2011-01-01"",""value"":19643},{""date"":""2011-04-01"",""value"":19857},{""date"":""2011-07-01"",""value"":20072},{""date"":""2011-10-01"",""value"":20286},{""date"":""2012-01-01"",""value"":20500},{""date"":""2012-04-01"",""value"":20714},{""date"":""2012-07-01"",""value"":20929},{""date"":""2012-10-01"",""value"":21143},{""date"":""2013-01-01"",""value"":21357},{""date"":""2013-04-01"",""value"":21572},{""date"":""2013-07-01"",""value"":21786},{""date"":""2013-10-01"",""value"":22000},{""date"":""2014-01-01"",""value"":22214},{""date"":""2014-04-01"",""value"":22429},{""date"":""2014-07-01"",""value"":22643},{""date"":""2014-10-01"",""value"":22857},{""date"":""2015-01-01"",""value"":23071},{""date"":""2015-04-01"",""value"":23286},{""date"":""2015-07-01"",""value"":23500},{""date"":""2015-10-01"",""value"":23714},{""date"":""2016-01-01"",""value"":23929},{""date"":""2016-04-01"",""value"":23929},{""date"":""2016-07-01"",""value"":23929},{""date"":""2016-10-01"",""value"":23929},{""date"":""2017-01-01"",""value"":23929},{""date"":""2017-04-01"",""value"":23929},{""date"":""2017-07-01"",""value"":23929},{""date"":""2017-10-01"",""value"":23929},{""date"":""2018-01-01"",""value"":23929},{""date"":""2018-04-01"",""value"":23929},{""date"":""2018-07-01"",""value"":23929}]",Khet Bang Khen,1991,2,6,382,Central Plaza Department Store (Ram Inthra) is 1.5 km away (approximately 9 minutes by car),Tops Supermarket (Ram Inthra) – 1.5 km (9 minutes by car),Foodland Supermarket (Ram Inthra) – 1.6 km (3 minutes by car),Tops Daily – 1.8 km (4 minutes by car),Lak Si Square – 3.2 km (10 minutes by car),1500,1500,1600,1800,3200,"Aiempanitvittaya School, located within 800 m away (approximately 10 minutes by foot)",Pramot Witthayaram Inthra School – 1 km (9 minutes by car),Parinya Kindergarten – 1.8 km (9 minutes by car),Anong Nat Kindergarten – 2 km (4 minutes by car),Pracha Phiban School – 2.1 km (4 minutes by car),800,1000,1800,2000,2100,Ahan Paet Rio Restaurant – 480 m (6 minutes by foot),Fai Thong Restaurant – 730 m (9 minutes by foot),MK Restaurants – 1 km (4 minutes by car),Bar-B-Q Plaza (Big C Ram Inthra) – 1 km (4 minutes by car),Yum Saap (Big C Ram Inthra) – 1 km (4 minutes by car),480,730,1000,1000,1000,4200,0,1,0,1,0,0,0,0,0,0,1,1,expressway,Ram Inthra Toll Plaza 1,3900,expressway,Chaeng Watthana 1 Toll Plaza,4400,expressway,Ram Inthra Toll Plaza,4900,mrt,Phahon Yothin,9200,mrt,Lat Phrao,9700
Knightsbridge Phaholyothin-Interchange,13.8790907,100.5986441,108961,4.26,–,0,–,"[{""date"":""2018-01-01"",""value"":106912},{""date"":""2018-04-01"",""value"":104513},{""date"":""2018-07-01"",""value"":108961}]",Khet Bang Khen,2019,1,15,726,Tops Supermarket (Ram Inthra) is 1.2 km away (approximately 7 minutes by car),Central Plaza Department Store (Ram Inthra) – 1.2 km (7 minutes by car),Lak Si Square – 1.2 km (12 minutes by car),Maxvalu Department Store (Lak Si) – 1.3 km (5 minutes by car),Foodland Supermarket – 2.6 km (13 minutes by car),1200,1200,1200,1300,2600,"Phum Phairot Phitthaya School, located within 450 m away (approximately 6 minutes by foot)",Thai Niyom Songkhro School – 640 m (8 minutes by foot),Pimontip Kindergarten – 880 m (5 minutes by car),Pracha Phiban School – 880 m (8 minutes by car),Matthayom Wat Phra Si Mahathat Demonstration School – 890 m (6 minutes by car),450,640,880,880,890,Chester's Grill (Lotus Lak Si) – 250 m (3 minutes by foot),KFC (Lotus Lak Si) – 250 m (3 minutes by foot),MK Restaurants – 250 m (3 minutes by foot),Pizza Today (Lotus Lak Si) – 250 m (3 minutes by foot),Pizza Hut (Lotus Lak Si) – 250 m (3 minutes by foot),250,250,250,250,250,1600,1,1,1,1,1,1,1,1,1,1,0,1,expressway,Lak Si Toll Plaza-Inbound,2300,expressway,Lak Si Toll Plaza-Outbound,2500,expressway,Chaeng Watthana 1 Toll Plaza,2600,mrt,Phahon Yothin,9700,mrt,Lat Phrao,11000
Knightsbridge Skycity Saphanmai,13.8876082,100.6039082,110129,5.44,–,4.45,–,"[{""date"":""2018-04-01"",""value"":104443},{""date"":""2018-07-01"",""value"":110129}]",Khet Bang Khen,2017,1,15,490,Super Ying Charoen is 1.3 km away (approximately 5 minutes by car),Maxvalu Department Store (Lak Si) – 2.2 km (10 minutes by car),Lak Si Square – 2.2 km (12 minutes by car),Tops Supermarket (Ram Inthra) – 2.2 km (5 minutes by car),Central Plaza Department Store (Ram Inthra) – 2.3 km (5 minutes by car),1300,2200,2200,2200,2300,"Rattanachat Kindergarten, located within 640 m away (approximately 8 minutes by foot)",Atthakan Kindergarten – 650 m (9 minutes by foot),Pimontip Kindergarten – 830 m (3 minutes by car),Bangkok Thai Massage School – 1.2 km (5 minutes by car),Niveswarin School – 1.2 km (6 minutes by car),640,650,830,1200,1200,Bang Khen Barbeque – 8 m (less than a minute by foot),I San Thale Phao Restaurant – 200 m (3 minutes by foot),Ban Kin Pla 2 Restaurant – 200 m (3 minutes by foot),Chakkaphat Restaurant – 430 m (6 minutes by foot),KFC (Big C Don Mueang) – 440 m (6 minutes by foot),8,200,200,430,440,470,1,1,1,1,1,0,1,1,0,0,0,0,expressway,Lak Si Toll Plaza-Inbound,3300,expressway,Don Mueang 2 Toll Plaza,4900,expressway,Don Mueang 1 Toll Plaza,4900,mrt,Phahon Yothin,11000,mrt,Lat Phrao,12000
Lumpini Condo Town Ramindra - Latplakhao,13.8626747,100.6133792,62572,9.96,0.72,5.22,-0.37,"[{""date"":""2012-01-01"",""value"":40329},{""date"":""2012-04-01"",""value"":42781},{""date"":""2012-07-01"",""value"":45234},{""date"":""2012-10-01"",""value"":47244},{""date"":""2013-01-01"",""value"":46837},{""date"":""2013-04-01"",""value"":48704},{""date"":""2013-07-01"",""value"":50556},{""date"":""2013-10-01"",""value"":51795},{""date"":""2014-01-01"",""value"":52820},{""date"":""2014-04-01"",""value"":53856},{""date"":""2014-07-01"",""value"":54776},{""date"":""2014-10-01"",""value"":54907},{""date"":""2015-01-01"",""value"":55031},{""date"":""2015-04-01"",""value"":55769},{""date"":""2015-07-01"",""value"":56829},{""date"":""2015-10-01"",""value"":57511},{""date"":""2016-01-01"",""value"":57552},{""date"":""2016-04-01"",""value"":58865},{""date"":""2016-07-01"",""value"":57480},{""date"":""2016-10-01"",""value"":59045},{""date"":""2017-01-01"",""value"":58822},{""date"":""2017-04-01"",""value"":61371},{""date"":""2017-07-01"",""value"":62124},{""date"":""2017-10-01"",""value"":64670},{""date"":""2018-01-01"",""value"":65503},{""date"":""2018-04-01"",""value"":56902},{""date"":""2018-07-01"",""value"":62572}]",Khet Bang Khen,2012,4,8,1035,Central Plaza Department Store (Ram Inthra) is 200 m away (approximately 3 minutes by foot),Tops Supermarket (Ram Inthra) – 210 m (3 minutes by foot),Lak Si Square – 1.8 km (11 minutes by car),Maxvalu Department Store (Lak Si) – 1.9 km (10 minutes by car),Foodland Supermarket (Ram Inthra) – 2.8 km (5 minutes by car),200,210,1800,1900,2800,"Pramot Witthayaram Inthra School, located within 560 m away (approximately 7 minutes by foot)",Krirk University – 570 m (7 minutes by foot),Project Cram Liberal Arts Bandit Management Program – 570 m (7 minutes by foot),Pracha Phiban School – 800 m (5 minutes by car),Parinya Kindergarten – 890 m (3 minutes by car),560,570,570,800,890,Fuji – 180 m (3 minutes by foot),Bar-B-Q Plaza (Central Ram Inthra) – 210 m (3 minutes by foot),Daidomon (Central Ram Inthra FL.4) – 210 m (3 minutes by foot),MK Restaurants – 210 m (3 minutes by foot),Santa Fe' Steak (Ram Inthra) – 210 m (3 minutes by foot),180,210,210,210,210,2900,1,1,1,1,0,0,1,1,1,1,0,0,expressway,Chaeng Watthana 1 Toll Plaza,3100,expressway,Lak Si Toll Plaza-Inbound,3100,expressway,Chaeng Watthana 2 Toll Plaza,3400,mrt,Phahon Yothin,10000,mrt,Lat Phrao,11000
Lumpini Condo Town Ramintra - Laksi,13.872564,100.6026141,48035,-17.92,-10.56,6.57,-0.75,"[{""date"":""2009-01-01"",""value"":41531},{""date"":""2009-04-01"",""value"":42889},{""date"":""2009-07-01"",""value"":42229},{""date"":""2009-10-01"",""value"":42164},{""date"":""2010-01-01"",""value"":41751},{""date"":""2010-04-01"",""value"":41497},{""date"":""2010-07-01"",""value"":43917},{""date"":""2010-10-01"",""value"":43394},{""date"":""2011-01-01"",""value"":44717},{""date"":""2011-04-01"",""value"":43183},{""date"":""2011-07-01"",""value"":43345},{""date"":""2011-10-01"",""value"":43189},{""date"":""2012-01-01"",""value"":43965},{""date"":""2012-04-01"",""value"":43889},{""date"":""2012-07-01"",""value"":43393},{""date"":""2012-10-01"",""value"":44069},{""date"":""2013-01-01"",""value"":41403},{""date"":""2013-04-01"",""value"":44646},{""date"":""2013-07-01"",""value"":44878},{""date"":""2013-10-01"",""value"":47497},{""date"":""2014-01-01"",""value"":49246},{""date"":""2014-04-01"",""value"":49958},{""date"":""2014-07-01"",""value"":49001},{""date"":""2014-10-01"",""value"":46218},{""date"":""2015-01-01"",""value"":46796},{""date"":""2015-04-01"",""value"":47374},{""date"":""2015-07-01"",""value"":47784},{""date"":""2015-10-01"",""value"":47576},{""date"":""2016-01-01"",""value"":47658},{""date"":""2016-04-01"",""value"":48248},{""date"":""2016-07-01"",""value"":48809},{""date"":""2016-10-01"",""value"":48644},{""date"":""2017-01-01"",""value"":50261},{""date"":""2017-04-01"",""value"":52244},{""date"":""2017-07-01"",""value"":53708},{""date"":""2017-10-01"",""value"":55185},{""date"":""2018-01-01"",""value"":59006},{""date"":""2018-04-01"",""value"":58525},{""date"":""2018-07-01"",""value"":48035}]",Khet Bang Khen,2008,7,8,1568,Central Plaza Department Store (Ram Inthra) is 290 m away (approximately 4 minutes by foot),Tops Supermarket (Ram Inthra) – 310 m (4 minutes by foot),Lak Si Square – 2 km (12 minutes by car),Maxvalu Department Store (Lak Si) – 2.1 km (10 minutes by car),IT Square Department Store (Lak Si Plaza) – 3.5 km (15 minutes by car),290,310,2000,2100,3500,"Krirk University, located within 720 m away (approximately 9 minutes by foot)",Project Cram Liberal Arts Bandit Management Program – 720 m (9 minutes by foot),Pramot Witthayaram Inthra School – 730 m (9 minutes by foot),Pracha Phiban School – 940 m (6 minutes by car),Parinya Kindergarten – 1.1 km (4 minutes by car),720,720,730,940,1100,Fuji – 270 m (4 minutes by foot),KFC (Central Ram Inthra) – 310 m (4 minutes by foot),Santa Fe' Steak (Ram Inthra) – 310 m (4 minutes by foot),MK Restaurants – 310 m (4 minutes by foot),Jum Zap Hut (Central Ram Inthra) – 310 m (4 minutes by foot),270,310,310,310,310,3000,1,1,1,1,0,0,1,1,1,0,0,0,expressway,Chaeng Watthana 1 Toll Plaza,3300,expressway,Lak Si Toll Plaza-Inbound,3300,expressway,Chaeng Watthana 2 Toll Plaza,3600,mrt,Phahon Yothin,10000,mrt,Lat Phrao,11000
Lumpini Place Ramindra-Laksi,13.8711475,100.6024707,71211,-3.75,2.71,5,-2.3,"[{""date"":""2009-04-01"",""value"":45000},{""date"":""2009-07-01"",""value"":46116},{""date"":""2009-10-01"",""value"":47674},{""date"":""2010-01-01"",""value"":49283},{""date"":""2010-04-01"",""value"":50833},{""date"":""2010-07-01"",""value"":51588},{""date"":""2010-10-01"",""value"":51941},{""date"":""2011-01-01"",""value"":56290},{""date"":""2011-04-01"",""value"":59033},{""date"":""2011-07-01"",""value"":60724},{""date"":""2011-10-01"",""value"":62293},{""date"":""2012-01-01"",""value"":61693},{""date"":""2012-04-01"",""value"":60864},{""date"":""2012-07-01"",""value"":59803},{""date"":""2012-10-01"",""value"":59062},{""date"":""2013-01-01"",""value"":60863},{""date"":""2013-04-01"",""value"":61111},{""date"":""2013-07-01"",""value"":60145},{""date"":""2013-10-01"",""value"":57488},{""date"":""2014-01-01"",""value"":61954},{""date"":""2014-04-01"",""value"":67161},{""date"":""2014-07-01"",""value"":63719},{""date"":""2014-10-01"",""value"":60753},{""date"":""2015-01-01"",""value"":64126},{""date"":""2015-04-01"",""value"":67334},{""date"":""2015-07-01"",""value"":69836},{""date"":""2015-10-01"",""value"":69636},{""date"":""2016-01-01"",""value"":66489},{""date"":""2016-04-01"",""value"":68174},{""date"":""2016-07-01"",""value"":68771},{""date"":""2016-10-01"",""value"":69060},{""date"":""2017-01-01"",""value"":69324},{""date"":""2017-04-01"",""value"":69361},{""date"":""2017-07-01"",""value"":69331},{""date"":""2017-10-01"",""value"":72126},{""date"":""2018-01-01"",""value"":77320},{""date"":""2018-04-01"",""value"":73988},{""date"":""2018-07-01"",""value"":71211}]",Khet Bang Khen,2010,1,14,516,Central Plaza Department Store (Ram Inthra) is 240 m away (approximately 3 minutes by foot),Central Plaza Department Store (Ram Inthra) – 240 m (3 minutes by foot),Central Plaza Department Store (Ram Inthra) – 240 m (3 minutes by foot),Tops Supermarket (Ram Inthra) – 260 m (4 minutes by foot),Tops Supermarket (Ram Inthra) – 260 m (4 minutes by foot),240,240,240,260,260,"Pramot Witthayaram Inthra School, located within 600 m away (approximately 7 minutes by foot)",Pramot Witthayaram Inthra School – 600 m (7 minutes by foot),Pramot Witthayaram Inthra School – 600 m (7 minutes by foot),Krirk University – 610 m (8 minutes by foot),Project Cram Liberal Arts Bandit Management Program – 610 m (8 minutes by foot),600,600,600,610,610,Fuji – 220 m (3 minutes by foot),Fuji – 220 m (3 minutes by foot),Fuji – 220 m (3 minutes by foot),MK Restaurants – 260 m (4 minutes by foot),KFC (Central Ram Inthra) – 260 m (4 minutes by foot),220,220,220,260,260,2900,1,1,1,1,1,1,1,0,0,1,0,1,expressway,Chaeng Watthana 1 Toll Plaza,3200,expressway,Chaeng Watthana 1 Toll Plaza,3200,expressway,Chaeng Watthana 1 Toll Plaza,3200,expressway,Lak Si Toll Plaza-Inbound,3200,expressway,Lak Si Toll Plaza-Inbound,3200
Lumpini Ville Ramintra-Laksi,13.872533,100.6029147,50000,0,-21.24,6.31,-8.36,"[{""date"":""2009-04-01"",""value"":44838},{""date"":""2009-07-01"",""value"":45484},{""date"":""2009-10-01"",""value"":44813},{""date"":""2010-01-01"",""value"":48079},{""date"":""2010-04-01"",""value"":42909},{""date"":""2010-07-01"",""value"":45831},{""date"":""2010-10-01"",""value"":48754},{""date"":""2011-01-01"",""value"":51676},{""date"":""2011-04-01"",""value"":49832},{""date"":""2011-07-01"",""value"":52809},{""date"":""2011-10-01"",""value"":53178},{""date"":""2012-01-01"",""value"":51704},{""date"":""2012-04-01"",""value"":54070},{""date"":""2012-07-01"",""value"":51707},{""date"":""2012-10-01"",""value"":51397},{""date"":""2013-01-01"",""value"":51463},{""date"":""2013-04-01"",""value"":53359},{""date"":""2013-07-01"",""value"":53516},{""date"":""2013-10-01"",""value"":53321},{""date"":""2014-01-01"",""value"":53278},{""date"":""2014-04-01"",""value"":54635},{""date"":""2014-07-01"",""value"":54360},{""date"":""2014-10-01"",""value"":56413},{""date"":""2015-01-01"",""value"":56980},{""date"":""2015-04-01"",""value"":56998},{""date"":""2015-07-01"",""value"":57137},{""date"":""2015-10-01"",""value"":56850},{""date"":""2016-01-01"",""value"":57491},{""date"":""2016-04-01"",""value"":58852},{""date"":""2016-07-01"",""value"":57967},{""date"":""2016-10-01"",""value"":59465},{""date"":""2017-01-01"",""value"":58053},{""date"":""2017-04-01"",""value"":60203},{""date"":""2017-07-01"",""value"":63484},{""date"":""2017-10-01"",""value"":62078},{""date"":""2018-01-01"",""value"":50000},{""date"":""2018-04-01"",""value"":50000},{""date"":""2018-07-01"",""value"":50000}]",Khet Bang Khen,2009,1,14,1271,Central Plaza Department Store (Ram Inthra) is 260 m away (approximately 4 minutes by foot),Tops Supermarket (Ram Inthra) – 270 m (4 minutes by foot),Lak Si Square – 1.9 km (11 minutes by car),Maxvalu Department Store (Lak Si) – 2 km (10 minutes by car),Foodland Supermarket (Ram Inthra) – 2.9 km (5 minutes by car),260,270,1900,2000,2900,"Pramot Witthayaram Inthra School, located within 620 m away (approximately 8 minutes by foot)",Krirk University – 630 m (8 minutes by foot),Project Cram Liberal Arts Bandit Management Program – 630 m (8 minutes by foot),Pracha Phiban School – 860 m (5 minutes by car),Parinya Kindergarten – 950 m (4 minutes by car),620,630,630,860,950,Fuji – 240 m (3 minutes by foot),KFC (Central Ram Inthra) – 270 m (4 minutes by foot),MK Restaurants – 270 m (4 minutes by foot),Santa Fe' Steak (Ram Inthra) – 270 m (4 minutes by foot),Jum Zap Hut (Central Ram Inthra) – 270 m (4 minutes by foot),240,270,270,270,270,2900,1,1,1,1,1,1,1,1,1,1,1,0,expressway,Chaeng Watthana 1 Toll Plaza,3200,expressway,Lak Si Toll Plaza-Inbound,3200,expressway,Chaeng Watthana 2 Toll Plaza,3500,mrt,Phahon Yothin,10000,mrt,Lat Phrao,11000
